Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
Hilltop Ski Area,Alaska,2090,294,1796,0,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,30,34,152,30,0
Sunrise Park Resort,Arizona,11100,1800,9200,0,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,74,78,104,80,1
Yosemite Ski & Snowboard Area,California,7800,600,7200,0,0,0,0,0,1,3,1,5,10,2,0.4,88,0,110,84,300,47,47,107,0,1
Boreal Mountain Resort,California,7700,500,7200,0,0,0,1,1,3,1,2,8,33,6,1,380,200,150,54,400,49,64.16681004,150,200,1
Dodge Ridge,California,8200,1600,6600,0,0,0,0,1,2,5,4,12,67,5,2,862,0,115.1039427,69,350,78,78,140,0,1
Donner Ski Ranch,California,8012,750,7031,0,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,75,170,0,1
June Mountain,California,10090,2590,7545,0,0,0,2,0,0,4,1,7,41,2,2,1500,0,115.1039427,58,250,57.91695652,64.16681004,128,0,1
Mt. Shasta Ski Park,California,6890,1435,5500,0,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,49,59,130,0,1
Mountain High,California,8200,1600,6600,0,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,84,150,73,1
Ski China Peak,California,8709,1679,7030,0,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,83,144,0,1
Snow Summit,California,8200,1200,7000,0,0,0,2,0,4,5,5,16,27,6,1.2,240,240,115.1039427,67,100,57.91695652,64.16681004,130,150,1
Snow Valley,California,7841,1041,6800,0,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160,69,79,143,164,1
Soda Springs,California,7352,652,6700,0,0,0,0,0,1,1,2,4,18,0,0.4,200,20,150,83,400,50,50,144,0,1
Tahoe Donner,California,7350,600,6750,0,0,0,0,1,1,0,3,5,14,2,1,120,0,150,48,400,69,69,144,0,1
Monarch Mountain,Colorado,11952,1162,10790,0,0,0,0,1,0,4,2,7,64,2,1,800,0,143,80,350,89,89,136,0,1
Cooper,Colorado,11700,1200,10500,0,0,0,0,0,1,1,2,4,41,1,1,400,0,130,74,260,56,56,130,0,1
Ski Granby Ranch,Colorado,9202,1000,8202,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,36,220,84,84,92,100,1
Sunlight Mountain Resort,Colorado,9895,2010,7885,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,53,250,65,65,135,0,1
Mohawk Mountain,Connecticut,1600,650,950,0,0,0,0,0,5,0,3,8,25,0,1.5,107,100,115.1039427,72,92,30,65,110,64,0
Mount Southington Ski Area,Connecticut,525,425,100,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,55,80,60,60,95,51,0
Powder Ridge Park,Connecticut,720,550,170,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,60,80,45,55,100,40,0
Ski Sundown,Connecticut,1075,625,450,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,50,45,62,62,95,66,0
Woodbury Ski Area,Connecticut,730,300,430,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,57,70,42,42,180,35,0
Kelly Canyon Ski Area,Idaho,6600,1000,5600,0,0,0,0,0,0,4,2,6,51,1,1.3,740,0,115.1039427,62,200,57.91695652,42,120.0530035,0,1
Lookout Pass Ski Area,Idaho,5650,1150,4500,0,0,0,0,0,1,3,0,4,35,2,1.5,540,0,113,84,400,44,47,140,0,2
Magic Mountain Ski Area,Idaho,7200,700,6500,0,0,0,0,0,0,1,2,3,11,0,1.5,280,0,65,81,180,32,32,70,0,1
Pebble Creek Ski Area,Idaho,8560,2200,6360,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,70,250,47,47,91,30,1
Pomerelle Mountain Resort,Idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,56,500,57.91695652,64.16681004,138,100,1
Soldier Mountain Ski Area,Idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,71,185.3164557,43,43,120.0530035,0,1
Chestnut Mountain Resort,Illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,60,50,40,55,112,139,0
Ski Snowstar Winter Sports Park,Illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,38,38,25,35,86,28,0
Villa Olivia,Illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15,15,115.1039427,53,25,40,40,70,15,0
Paoli Peaks,Indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,41,18,38,45,80,65,0
Perfect North Slopes,Indiana,800,400,400,0,0,0,0,2,3,0,6,11,23,2,1,100,100,82,39,24,52,52,90,100,0
Mt. Crescent Ski Area,Iowa,1500,300,1200,0,0,0,0,1,0,1,0,2,11,1,0.2,50,50,115.1039427,58,30,29,39,120.0530035,50,0
Seven Oaks,Iowa,975,275,800,0,0,0,0,0,2,0,2,4,11,2,1,35,35,100,22,40,40,40,100,35,0
Sundown Mountain,Iowa,1059,475,584,0,0,0,0,1,1,2,2,6,21,2,0.6,55,55,115.1039427,46,45,38,46,120.0530035,55,0
Camden Snow Bowl,Maine,1080,850,150,0,0,0,0,0,1,1,1,3,26,2,1,100,48,68,83,69,33,43,70,48,0
Lost Valley,Maine,495,240,255,0,0,0,0,0,0,2,2,4,22,2,0.3,45,45,87,58,50,29,55,104,45,0
Mt. Abram Ski Resort,Maine,2250,1150,1050,0,0,0,0,0,0,2,3,5,54,1,0.5,640,175,120,59,125,29,49,120,0,0
New Hermon Mountain,Maine,450,350,100,0,0,0,0,0,0,1,2,3,20,0,1.9,70,70,102,55,90,32,32,117,45,0
Shawnee Peak,Maine,1900,1350,600,0,0,0,0,1,2,1,2,6,43,3,0.8,239,234,97,81,110,55,75,103,110,0
Wisp,Maryland,3115,700,2415,0,0,0,0,2,5,0,5,12,34,3,1.5,172,118,121,64,100,59,79,120,118,2
Berkshire East,Massachusetts,1720,1180,540,0,0,0,0,2,1,1,2,6,47,2,2,180,165,120,68,120,48,68,120,80,0
Blandford Ski Area,Massachusetts,1685,465,1035,0,0,0,0,0,0,3,2,5,29,2,0.5,132,70,115.1039427,83,50,20,45,120.0530035,70,0
Otis Ridge Ski Area,Massachusetts,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,73,70,20,40,106,35,0
Ski Ward,Massachusetts,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,50,80,57.91695652,64.16681004,120,38,0
Alpine Valley Ski Area,Michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100,100,115.1039427,57,20,39,47,120.0530035,100,0
Apple Mountain,Michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,0,80,42,115.1039427,58,52,35,35,120.0530035,80,0
Big Snow Resort - Blackjack,Michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,42,210,49,65,115,0,0
Caberfae Peaks,Michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,82,140,39,49,130,150,0
Big Snow Resort - Indianhead Mountain,Michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,60,204,49,49,120,0,0
Marquette Mountain,Michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,60,210,57.91695652,64.16681004,135,89,0
Mont Ripley,Michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,83,275,49,49,100,100,0
Mt. Holiday Ski Area,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45,45,100,70,120,22,34,90,45,0
Mount Holly,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100,100,115.1039427,63,42,37,45,102,100,0
Norway Mountain,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,45,100,57.91695652,45,110,40,0
Pine Mountain,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,80,60,57.91695652,45,126,80,0
Snow Snake Mountain Ski Area,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0,40,40,115.1039427,72,185.3164557,30,35,120.0530035,40,0
Swiss Valley,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,51,60,32,42,80,60,0
Timber Ridge,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,58,185.3164557,35,45,120.0530035,50,0
Treetops Resort,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,65,175,57.91695652,64.16681004,101,80,0
Andes Tower Hills Ski Area,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,38,55,45,45,110,35,0
Buck Hill,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45,45,115,65,60,34,47,112,45,0
Buena Vista Ski Area,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30,30,57,70,78,44,44,60,30,0
Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,39,48,23,37,56,35,0
Giants Ridge Resort,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,35,85,49,58,125,121,0
Hyland Ski & Snowboard Area,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,61,55,35.34,35.34,115,35,0
Powder Ridge Ski Area,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,0,60,60,97,58,45,36,48,113,60,0
Spirit Mountain,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,45,100,59,59,125,144,0
Hidden Valley Ski Area,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30,30,115.1039427,37,26,49,49,120.0530035,17,0
Snow Creek,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,33,20,37,47,85,30,0
Maverick Mountain,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255,0,115.1039427,83,160,39,39,120.0530035,0,1
Montana Snowbowl,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950,20,115.1039427,58,300,50,50,120.0530035,10,1
Showdown Montana,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640,0,86,83,250,47,47,85,0,1
Lee Canyon,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,56,161,70,70,150,0,1
Attitash,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,54,120,79,89,130,0,0
Black Mountain,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143,120,110,84,125,45,59,107,0,0
Cranmore Mountain Resort,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,82,150,57.91695652,64.16681004,128,0,0
Dartmouth Skiway,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,63,100,50,50,105,0,0
Gunstock,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227,176,106,82,120,80,92,120.0530035,60,0
King Pine,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,57,120,42,58,107,23,0
Mount Sunapee,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,71,100,83,93,136,0,0
Pats Peak,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,56,100,58,72,112,93,0
Waterville Valley,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,54,148,79,93,142,0,2
Whaleback Mountain,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,64,110,30,45,105,55,0
Wildcat Mountain,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225,200,156,61,200,79,89,150,0,2
Campgaw Mountain,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23,23,80,58,45,57.91695652,64.16681004,120.0530035,14,0
Angel Fire Resort,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,53,210,77,77,101,50,1
Enchanted Forest Ski Area,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600,0,130,34,240,20,20,140,0,1
Pajarito Mountain Ski Area,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750,35,89,62,163,49,49,117,0,1
Red River,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209,0,110,60,214,79,79,120.0530035,0,1
Sipapu Ski Resort,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200,140,127,67,190,47,47,143,0,1
Ski Santa Fe,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,73,225,80,80,130,0,1
Bristol Mountain,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,55,60,65,76,129,154,0
Catamount,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,80,108,38,69,90,55,0
Dry Hill Ski Area,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35,26,115.1039427,55,125,57.91695652,35,120.0530035,26,0
Greek Peak,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220,184,110,62,122,49,63.2,113,175,0
Holiday Mountain,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37,37,75,60,50,27,42,85,37,0
Holimont Ski Area,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135,135,110,57,180,62,75,119,0,0
Labrador Mt.,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1,250,237,115.1039427,62,125,59,59,100,180,0
Maple Ski Ridge,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25,25,115.1039427,57,185.3164557,26,38,120.0530035,20,0
McCauley Mountain Ski Center,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70,55,105,61,200,20,30,105,0,0
Mount Peter Ski Area,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,83,50,35,54,100,69,0
Oak Mountain,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46,18,115.1039427,71,120,40,40,120.0530035,12,0
Plattekill Mountain,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,26,175,50,67,65,0,2
Royal Mountain Ski Area,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35,28,115.1039427,63,90,45,45,120.0530035,0,0
Snow Ridge,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130,65,73,74,230,38,48,100,40,0
Song Mountain,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93,70,90,55,125,59,59,122,70,0
Thunder Ridge,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100,100,121,60,185.3164557,57.91695652,57,121,100,0
Titus Mountain,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,59,150,39,49,100,70,0
Toggenburg Mountain,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85,0,115.1039427,66,130,55,55,122,73,0
West Mountain,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124,105,115.1039427,58,80,49,59,120,105,0
Woods Valley Ski Area,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25,16,115.1039427,55,180,31,39,120.0530035,15,0
Appalachian Ski Mountain,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27,27,100,57,50,40,64,100,27,2
Cataloochee Ski Area,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,58,50,43,70,108,50,2
Wolf Ridge Ski Resort,North Carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65,65,115.1039427,49,65,42,65,100,60,2
Alpine Valley,Ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72,72,105,53,120,43,43,120.0530035,72,0
Boston Mills,Ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40,40,92,56,51,44,44,110,40,0
Mad River Mountain,Ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,57,36,39,44,90,144,0
Snow Trails,Ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,58,50,41,52,70,80,0
Anthony Lakes Mountain Resort,Oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100,0,75,56,300,40,40,80,0,1
Cooper Spur,Oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50,0,78,66,100,39,39,90,0,2
Mt. Ashland,Oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1,220,0,94,55,300,45,52,92,40,1
Ski Big Bear,Pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26,26,75,43,69,50,62,75,26,0
Blue Knob,Pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2,100,84,87,56,120,43,68,105,42,2
Camelback Mountain Resort,Pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1,166,166,100,56,50,55,70,100,160,0
Elk Mountain Ski Resort,Pennsylvania,2693,1000,1693,0,0,0,0,1,0,5,1,7,27,2,0.7,180,146,115.1039427,60,60,55,69,100,90,0
Jack Frost,Pennsylvania,2000,600,1400,0,0,0,0,1,2,5,1,9,20,1,1,100,100,96,47,50,50,65,105,0,0
Mount Pleasant of Edinboro,Pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40,35,75,48,100,30,33,90,35,0
Shawnee Mountain Ski Area,Pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125,125,100,44,50,55,65,122,120,0
Ski Sawmill,Pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15,13,115.1039427,50,24,30,44,90,15,0
Montage Mountain,Pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140,140,60,35,47,67,64.16681004,90,140,0
Spring Mountain Ski Area,Pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45,45,100,56,20,57.91695652,64.16681004,100,45,0
Tussey Mountain,Pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38,30,100,39,41,40,45,100,30,0
Yawgoo Valley,Rhode Island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30,30,100,54,40,57.91695652,64.16681004,100,30,0
Deer Mountain Ski Resort,South Dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500,50,69,51,200,45,45,81,0,1
Ober Gatlinburg Ski Resort,Tennessee,3300,600,2700,0,0,0,0,2,0,1,1,4,10,1,1,0,0,83,44,35,36,65,94,0,2
Beaver Mountain,Utah,8600,1600,7232,0,0,0,0,0,1,3,1,5,48,2,0.8,464,0,120,81,400,50,50,120,0,1
Sundance,Utah,8250,2150,6100,0,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,50,320,80,80,129,0,1
Nordic Valley Resort,Utah,6400,960,5440,0,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,51,300,45,50,105,140,1
Bolton Valley,Vermont,3150,1704,1446,0,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,53,300,69,79,132,50,2
Bromley Mountain,Vermont,3284,1334,1950,0,0,0,1,1,0,4,3,9,47,1,2.5,178,153,115.1039427,83,168,87,91,152,0,2
Burke Mountain,Vermont,3267,2011,1210,0,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,62,217,73,73,125,0,2
Mad River Glen,Vermont,3637,2037,1600,0,0,0,0,0,2,2,1,5,52,0,1,115,16,134,71,228,57.91695652,64.16681004,135,0,2
Magic Mountain,Vermont,2850,1500,1350,0,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,59,150,74,74,80,0,0
Pico Mountain ,Vermont,3967,1967,2000,0,0,0,2,0,2,2,1,7,59,1,4,260,156,115.1039427,82,250,81,81,120.0530035,0,2
Smugglers' Notch Resort,Vermont,3640,2610,1030,0,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,63,280,79,79,135,0,2
Suicide Six,Vermont,1200,650,550,0,0,0,0,0,0,2,1,3,24,0,0.4,100,50,100,85,90,45,75,106,0,0
Bryce Resort,Virginia,1750,500,1250,0,0,0,0,1,0,1,5,7,8,0,0.4,25,25,100,54,30,43,68,95,20,0
The Homestead Ski Area,Virginia,3200,700,2500,0,0,0,0,0,0,1,1,2,10,0,1,45,100,91,60,50,57.91695652,64.16681004,100,0,2
Alpental,Washington,5420,2280,3140,0,0,0,1,0,0,3,1,5,24,0,1.2,825,0,120,52,428,57.91695652,64.16681004,144,121,2
Bluewood,Washington,5670,1125,4545,0,0,0,0,0,2,0,1,3,24,2,2,355,0,70,40,300,42,47,110,0,2
White Pass,Washington,6550,2050,4500,0,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,67,400,69,69,144,90,2
Canaan Valley Resort,West Virginia,4280,850,3430,0,0,0,0,1,2,0,1,4,47,1,1.2,95,75,115.1039427,48,160,52,68,93,0,2
Timberline Four Seasons,West Virginia,4265,1000,3268,0,0,0,0,0,2,1,1,4,40,1,2,100,100,97,37,150,72,92,115,27,2
Winterplace Ski Resort,West Virginia,3600,603,2997,0,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,36,100,56,72,120,74,2
Cascade Mountain,Wisconsin,1280,460,820,0,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,57,56,59,64,120,0,0
Christie Mountain,Wisconsin,1650,350,1300,0,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,43,48,28,38,120,35,0
Christmas Mountain,Wisconsin,1250,250,1000,0,0,0,0,1,0,0,2,3,16,0,0.4,40,40,75,50,20,57.91695652,64.16681004,70,40,0
Grand Geneva,Wisconsin,1086,211,875,0,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,25,25,28,49,93,30,0
Mount La Crosse,Wisconsin,1110,516,594,0,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,60,40,56,56,100,90,0
Nordic Mountain,Wisconsin,1137,265,872,0,0,0,0,0,1,1,5,7,18,4,1,60,60,68,43,80,57.91695652,47,90,60,0
Sunburst,Wisconsin,1100,214,866,0,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,59,50,33,44,115,37,0
Trollhaugen,Wisconsin,1200,260,920,0,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,69,50,54,54,120,86,0
Tyrol Basin,Wisconsin,1160,300,860,0,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,61,41,17,48,103,32,0
Whitecap Mountain,Wisconsin,1750,400,1295,0,0,0,0,1,0,4,0,5,43,1,1,400,300,105,57,200,60,60,118,0,0
Hogadon Basin,Wyoming,8000,640,7400,0,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,61,80,48,48,95,0,1
Sleeping Giant Ski Resort,Wyoming,7428,810,6619,0,0,0,0,0,1,1,1,3,48,1,1,184,18,61,81,310,42,42,77,0,1
Snow King Resort,Wyoming,7808,1571,6237,0,0,0,0,1,1,1,0,3,32,2,1,400,250,121,80,300,59,59,123,110,1
Snowy Range Ski & Recreation Area,Wyoming,9663,990,8798,0,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,59,250,49,49,120.0530035,0,1
White Pine Ski Area,Wyoming,9500,1100,8400,0,0,0,0,0,2,0,0,2,25,0,0.4,370,0,115.1039427,81,150,57.91695652,49,120.0530035,0,1